0,gen_00000_indiv_00000,4.137543142831419,2,4,"cos(len(y, scalar(-0.9052118958297468)))"
1,gen_00000_indiv_00001,4.70321623183554,2,7,"xor(sin(x), clip(y, y, scalar(0.09098114578552008)))"
2,gen_00000_indiv_00002,4.249445472109073,2,5,"_or(step(x), sign(scalar(-0.8034605918837625)))"
3,gen_00000_indiv_00003,4.017031364965078,1,2,tan(scalar(0.7709946800499483))
4,gen_00000_indiv_00004,4.06144920985389,2,5,"div(sstepp(scalar(0.03192008791887346, 0.20909764515903317, -0.01793745100745303)), sstep(scalar(0.7099258936473338)))"
5,gen_00000_indiv_00005,3.882515732146203,3,12,"warp(sin(step(scalar(-0.5094844430407546))), _or(step(scalar(0.030476800986655617, 0.7891191802084201, 0.940959773252815)), sign(x)), exp(sign(y)))"
6,gen_00000_indiv_00006,4.3711103872192325,3,25,"_if(_and(sign(y), mult(scalar(0.19998676938778104), y)), warp(clip(scalar(-0.3483660633206145), scalar(0.6273178428623281), y), warp(y, y, scalar(0.7934946883904055)), len(scalar(-0.13849836117301284), x)), max(xor(scalar(0.07981005392936891), scalar(-0.07605325031315613)), sign(x)))"
7,gen_00000_indiv_00007,4.100869707712263,3,8,"mdist(sign(sstep(x)), sqrt(min(scalar(0.07633111113901503, -0.9049449919376187, -0.7371115093056817), scalar(0.8014335133090031))))"
8,gen_00000_indiv_00008,4.237460578533501,3,15,"_and(max(mult(x, y), max(scalar(0.428545991834701), x)), min(div(x, scalar(-0.8428289687083783)), min(scalar(0.3351752101403991), y)))"
9,gen_00000_indiv_00009,4.040309232361324,1,2,exp(x)
10,gen_00000_indiv_00010,4.230047652556095,4,18,"neg(add(_or(add(x, scalar(0.29502452966337067)), lerp(scalar(-0.3503850721825801), scalar(0.8585353552950776, -0.8778723840554898, 0.08027770690712988), scalar(-0.030979978995354873))), add(_if(scalar(0.2759945975278264, 0.9272729676858646, 0.5274768119369049), scalar(-0.2239646744927224), scalar(-0.7708775035940281)), pow(scalar(-0.7082909791258478, 0.02952291971660892, -0.8681698556105173), scalar(-0.9936353167965957)))))"
